name,propername,code,count,description,url,type
arecibo,Arecibo Observatory,1,0,ERROR arecibo : https://www.naic.edu/ao/landing/sitemap.xml Sitemap URL is 404,https://www.naic.edu/ao/landing/sitemap.xml,sitemap
aws,AWS OpenData,1,0,ERROR aws : https://aws.amazon.com/opendata/sitemap.xml Sitemap URL is 404,https://aws.amazon.com/opendata/sitemap.xml,sitemap
cyvers,Cyverse,0,1,VALID cyvers : https://cyverse.org/sitemap.xml with 1 sitemap URL(s),https://cyverse.org/sitemap.xml,sitemap
drp,Digital Rock Portal,0,158,VALID drp : https://www.digitalrocksportal.org/sitemap.xml with 1 sitemap URL(s),https://www.digitalrocksportal.org/sitemap.xml,sitemap
dryad,Dryad,0,52494,VALID dryad : https://datadryad.org/sitemap.xml with 53 sitemap URL(s),https://datadryad.org/sitemap.xml,sitemap
matcommons,Material Commons,1,0,"ERROR making request, no further information at this time",https://materialscommons.org/sitemap.xml,sitemap
mdf,Material Data Facility,1,0,ERROR mdf : https://materialsdatafacility.org/sitemap.xml Sitemap URL is 404,https://materialsdatafacility.org/sitemap.xml,sitemap
neon,Neon Science,0,1373,VALID neon : https://www.neonscience.org/sitemap.xml with 1 sitemap URL(s),https://www.neonscience.org/sitemap.xml,sitemap
abacus,Dataverse Abacus,0,2340,VALID abacus : http://abacus.library.ubc.ca/sitemap.xml with 1 sitemap URL(s),http://abacus.library.ubc.ca/sitemap.xml,sitemap
acss,Dataverse Arab Council for the Social Scienes (ACSS),1,0,ERROR acss : http://dataverse.theacss.org/sitemap.xml Sitemap URL is 404,http://dataverse.theacss.org/sitemap.xml,sitemap
adf,Arca Dados Fiocrus - Dataverse,0,793,VALID adf : http://dadosdepesquisa.fiocruz.br/sitemap.xml with 1 sitemap URL(s),http://dadosdepesquisa.fiocruz.br/sitemap.xml,sitemap
asulrdr,Arizona State University (ASU) Library Research Data Repository - Dataverse,0,74,VALID asulrdr : http://dataverse.asu.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.asu.edu/sitemap.xml,sitemap
aussda,Austrian Social Science Data Archive (AUSSDA) - Dataverse,1,0,"ERROR making request, no further information at this time",http://data.aussda.at/sitemap.xml,sitemap
borealis,Borealis - Dataverse,0,9353,VALID borealis : http://borealisdata.ca/sitemap.xml with 1 sitemap URL(s),http://borealisdata.ca/sitemap.xml,sitemap
cifor,Center for International Forestry Research (CIFOR) - Dataverse,1,0,ERROR cifor : http://data.cifor.org/sitemap.xml Sitemap URL is 404,http://data.cifor.org/sitemap.xml,sitemap
cimmyt,International Maize and Wheat Improvement Center (CIMMYT) - Dataverse,0,959,VALID cimmyt : http://data.cimmyt.org/sitemap.xml with 1 sitemap URL(s),http://data.cimmyt.org/sitemap.xml,sitemap
cora,Catalan Open Research Data (CORA) - Dataverse,0,445,VALID cora : http://dataverse.csuc.cat/sitemap.xml with 1 sitemap URL(s),http://dataverse.csuc.cat/sitemap.xml,sitemap
crossda,Croatian Social Science Data Archive (CROSSDA) - Dataverse,1,0,ERROR crossda : http://data.crossda.hr/sitemap.xml Sitemap URL is 404,http://data.crossda.hr/sitemap.xml,sitemap
cuhk,The Chinese University of Hong Kong Library Research Data Repository (CUHK) - Dataverse,0,209,VALID cuhk : http://researchdata.cuhk.edu.hk/sitemap.xml with 1 sitemap URL(s),http://researchdata.cuhk.edu.hk/sitemap.xml,sitemap
tdi,Dartmouth Institute for Health Policy and Clinical Practice (TDI) - Dataverse,0,41,VALID tdi : http://dataverse.dartmouth.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.dartmouth.edu/sitemap.xml,sitemap
darus,Data Repository University of Stuttgart (DaRUS) - Dataverse,1,0,ERROR darus : http://darus.uni-stuttgart.de/sitemap.xml reading sitemap XML,http://darus.uni-stuttgart.de/sitemap.xml,sitemap
irs,DataSuds Institut de recherche pour le développement (IRS) - Dataverse,0,340,VALID irs : http://dataverse.ird.fr/sitemap.xml with 1 sitemap URL(s),http://dataverse.ird.fr/sitemap.xml,sitemap
sceincespo,SceincesPo - Dataverse,1,0,ERROR sceincespo : https://data.sciencespo.fr/sitemap.xml Sitemap URL is 404,https://data.sciencespo.fr/sitemap.xml,sitemap
edatos,Edatos - Dataverse,0,720,VALID edatos : http://edatos.consorciomadrono.es/sitemap.xml with 1 sitemap URL(s),http://edatos.consorciomadrono.es/sitemap.xml,sitemap
netherland,Netherland - Dataverse,0,6402,VALID netherland : http://dataverse.nl/sitemap.xml with 1 sitemap URL(s),http://dataverse.nl/sitemap.xml,sitemap
norway,Norway - Dataverse,0,1280,VALID norway : http://dataverse.no/sitemap.xml with 1 sitemap URL(s),http://dataverse.no/sitemap.xml,sitemap
ntu,Nanyang Technological University Singapore (NTU) - Dataverse,0,2008,VALID ntu : http://researchdata.ntu.edu.sg/sitemap.xml with 1 sitemap URL(s),http://researchdata.ntu.edu.sg/sitemap.xml,sitemap
fiu,Florida International University (FIU) Research Data Portal - Dataverse,1,0,ERROR fiu : http://dataverse.fiu.edu/sitemap.xml Sitemap URL is 404,http://dataverse.fiu.edu/sitemap.xml,sitemap
gro,Gottingen Research Online - Dataverse,1,0,ERROR gro : http://data.goettingen-research-online.de/sitemap.xml Sitemap URL is 404,http://data.goettingen-research-online.de/sitemap.xml,sitemap
