name,propername,code,count,description,url,type
cyvers,Cyverse,0,1,VALID cyvers : https://cyverse.org/sitemap.xml with 1 sitemap URL(s),https://cyverse.org/sitemap.xml,sitemap
drp,Digital Rock Portal,0,158,VALID drp : https://www.digitalrocksportal.org/sitemap.xml with 1 sitemap URL(s),https://www.digitalrocksportal.org/sitemap.xml,sitemap
dryad,Dryad,0,52494,VALID dryad : https://datadryad.org/sitemap.xml with 53 sitemap URL(s),https://datadryad.org/sitemap.xml,sitemap
neon,Neon Science,0,1373,VALID neon : https://www.neonscience.org/sitemap.xml with 1 sitemap URL(s),https://www.neonscience.org/sitemap.xml,sitemap
abacus,Dataverse Abacus,0,2340,VALID abacus : http://abacus.library.ubc.ca/sitemap.xml with 1 sitemap URL(s),http://abacus.library.ubc.ca/sitemap.xml,sitemap
adf,Arca Dados Fiocrus - Dataverse,0,793,VALID adf : http://dadosdepesquisa.fiocruz.br/sitemap.xml with 1 sitemap URL(s),http://dadosdepesquisa.fiocruz.br/sitemap.xml,sitemap
asulrdr,Arizona State University (ASU) Library Research Data Repository - Dataverse,0,74,VALID asulrdr : http://dataverse.asu.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.asu.edu/sitemap.xml,sitemap
borealis,Borealis - Dataverse,0,9353,VALID borealis : http://borealisdata.ca/sitemap.xml with 1 sitemap URL(s),http://borealisdata.ca/sitemap.xml,sitemap
cimmyt,International Maize and Wheat Improvement Center (CIMMYT) - Dataverse,0,959,VALID cimmyt : http://data.cimmyt.org/sitemap.xml with 1 sitemap URL(s),http://data.cimmyt.org/sitemap.xml,sitemap
cora,Catalan Open Research Data (CORA) - Dataverse,0,445,VALID cora : http://dataverse.csuc.cat/sitemap.xml with 1 sitemap URL(s),http://dataverse.csuc.cat/sitemap.xml,sitemap
cuhk,The Chinese University of Hong Kong Library Research Data Repository (CUHK) - Dataverse,0,209,VALID cuhk : http://researchdata.cuhk.edu.hk/sitemap.xml with 1 sitemap URL(s),http://researchdata.cuhk.edu.hk/sitemap.xml,sitemap
tdi,Dartmouth Institute for Health Policy and Clinical Practice (TDI) - Dataverse,0,41,VALID tdi : http://dataverse.dartmouth.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.dartmouth.edu/sitemap.xml,sitemap
